Date,Close,High,Low,Open,Volume,MA_20,MA_50,MA_100,Trend,Momentum,Returns,Volatility,Signal
2025-06-26,494.5769653320313,495.1635541172166,489.9637493151316,490.13278082199906,21578900,472.091569519043,440.5979864501953,415.22956115722656,True,17.110626220703182,0.01052274915746132,0.006264385886831366,1
2025-06-27,493.0756530761719,496.41623250794254,490.1824564211629,494.6763398018984,34539200,473.9438079833984,442.8035107421875,416.09049743652344,True,18.432891845703182,-0.0030355482788235744,0.006467817898393023,1
2025-06-30,494.53717041015625,497.86782827206525,492.4691666337086,494.1693122308427,28369000,475.78560943603514,445.31851989746093,416.9516879272461,True,11.344116210937557,0.002964083350833313,0.006471237264521978,1
2025-07-01,489.2081298828125,495.17347659984546,488.14433277768,493.602615314542,19945400,477.2809234619141,447.8029656982422,417.75047607421874,True,1.9288330078125,-0.01077581392501592,0.007257025991841382,1
2025-07-02,488.253662109375,490.6497465796282,485.8774815457773,487.1600091895654,16319600,478.67880096435545,450.4402062988281,418.51466217041013,True,-1.173187255859375,-0.0019510464261216498,0.007345268641649156,1
2025-07-03,495.95892333984375,497.2414813819725,490.59011735274714,490.9579755463732,13984800,480.41720123291014,453.07872314453124,419.41601928710935,True,1.3819580078124432,0.015781266641565317,0.007875287843808922,1
2025-07-07,494.8454284667969,495.869478507003,492.3698191254294,494.50739577153047,13981600,481.9105285644531,455.54471923828123,420.2817779541016,True,1.769775390625,-0.0022451352735998187,0.007904896409145915,1
2025-07-08,493.7517700195313,495.32266173239384,491.2562567966873,494.3681843595188,11846600,483.21495208740237,457.73260498046875,421.14432556152343,True,-0.7854003906249432,-0.002210101143409804,0.00796663031008153,1
2025-07-09,500.60198974609375,503.8530929514779,496.85374394735805,497.4105072423231,18659500,484.7440704345703,459.96718505859377,422.0991452026367,True,11.39385986328125,0.013873813001807456,0.00833670458162219,1
2025-07-10,498.5836791992187,501.52657502305914,494.8752111441128,500.1445884984204,16492100,486.2632461547852,462.1750946044922,423.01892547607423,True,10.330017089843693,-0.004031766929050273,0.008343944121039984,1
2025-07-11,500.4130859375,502.1132013481938,494.92494724269005,495.5910910122862,16459500,487.7893814086914,464.3624298095703,423.97789764404297,True,4.45416259765625,0.0036692070250263775,0.00834411451598806,1
2025-07-14,500.1147766113281,501.05930198422453,498.1362796464767,498.6234399223271,12058800,488.9899078369141,466.5195849609375,424.9219027709961,True,5.26934814453125,-0.0005961261496849612,0.008035493540858406,1
2025-07-15,502.8986206054687,505.36427783294863,499.88612172349406,500.11477392946824,14927200,490.5239959716797,468.1341961669922,425.8429379272461,True,9.146850585937386,0.005566410200881,0.007654454217192076,1
2025-07-16,502.69976806640625,503.793421043838,498.99133023831314,502.2623068754336,15154400,491.840348815918,469.5487316894531,426.74025085449216,True,2.0977783203125,-0.0003954127748909686,0.007574849151352878,1
2025-07-17,508.7446594238281,510.40499725185873,502.6997578215743,502.75940886082554,17503100,493.5136291503906,471.0664996337891,427.7766110229492,True,10.160980224609432,0.012024854080743053,0.007750537733869504,1
2025-07-18,507.1041564941406,511.66767331118785,504.4992933518648,511.5085634207008,21209700,494.9955200195312,472.6082244873047,428.8383462524414,True,6.691070556640625,-0.003224609633338371,0.007885006345153643,1
2025-07-21,507.1141357421875,509.1324405638626,502.6301736290422,503.7834776665751,14066800,496.6190887451172,474.14935424804685,429.9607180786133,True,6.999359130859375,1.9678892233532252e-05,0.007637948856931435,1
2025-07-22,502.3517456054687,508.2475192857543,502.3517456054687,508.01883675363734,13868600,497.5770233154297,475.4995684814453,431.0173046875,True,-0.546875,-0.009391160295204148,0.00731875988610954,1
2025-07-23,502.94830322265625,503.8630030405687,497.80817995491657,503.8232255681408,16396600,498.3604736328125,476.85059936523436,432.15131011962893,True,0.24853515625,0.0011875296988737016,0.007158485047837769,1
2025-07-24,507.9294128417969,510.703277326071,504.37007217269974,505.831583388195,16107000,499.2856018066406,478.0922521972656,433.29086517333985,True,-0.81524658203125,0.009903820307622047,0.007373881767662509,1
2025-07-25,510.7430419921875,515.2965460849812,507.4123538189797,509.5101527540243,19125700,500.0939056396484,479.39255859375,434.5429110717773,True,3.638885498046875,0.005539409766897929,0.0071472823275610066,1
2025-07-28,509.5400390625,512.0256002286585,507.17377997770546,511.110930710653,14308000,500.91712493896483,480.5933837890625,435.7817364501953,True,2.4259033203125,-0.0023553975889619716,0.007125481267693596,1
2025-07-29,509.609619140625,514.6304403339567,508.6054427654301,512.5525452747698,16469200,501.6707473754883,481.7753173828125,436.8980999755859,True,7.257873535156307,0.00013655468224449407,0.007126455870926318,1
2025-07-30,510.2757873535156,512.9701576717969,506.4977462813353,512.194633411811,26380400,502.72413024902346,482.9479064941406,438.0621109008789,True,7.327484130859375,0.0013072127916542442,0.006514547037604855,1
2025-07-31,530.4187622070312,552.2420017670738,528.8280273057109,552.0232408256204,51617300,504.83238525390624,484.4318865966797,439.4630801391602,True,22.489349365234375,0.03947468281414013,0.010509333432260405,1
2025-08-01,521.0829467773438,532.7054326872741,517.8517174087783,531.9100652869249,28977600,506.0885864257813,485.7430688476563,440.90119201660156,True,10.33990478515625,-0.017600839364810383,0.011201560607847117,1
2025-08-04,532.54638671875,535.141297909759,525.0797515616827,525.218957545317,25349000,507.97363433837893,487.394873046875,442.45106048583983,True,23.00634765625,0.021999261369619383,0.011944515015080712,1
2025-08-05,524.7019653320312,534.196796907337,524.1949011418618,534.0774948252555,19171600,509.5211441040039,488.8442541503906,443.8944989013672,True,15.09234619140625,-0.014730024618234028,0.01258399043646209,1
2025-08-06,521.908203125,528.6291703469228,521.0034855448089,527.8338028961505,21355700,510.5864547729492,490.33081909179685,445.354658203125,True,11.632415771484375,-0.0053244744476292905,0.012451952846333226,1
2025-08-07,517.8319091796875,525.0400367197672,514.5608717763297,523.757448292983,16079100,511.54886627197266,491.52687194824216,446.6768978881836,True,-12.58685302734375,-0.007810365732719093,0.0125788456123294,1
2025-08-08,519.02490234375,521.6297655095517,516.4100872243725,519.5816656001966,15531000,512.4794570922852,492.81300048828126,448.009677734375,True,-2.05804443359375,0.00230382319612632,0.01257284193141135,1
2025-08-11,518.7564697265625,524.542862850504,516.7182612189127,519.2833770884752,20194400,513.4115417480468,494.06751220703126,449.39118041992185,True,-13.7899169921875,-0.0005171863931293652,0.012572028869923379,1
2025-08-12,526.183349609375,527.9132904806338,519.6811434112465,520.7250669698358,18667000,514.5757781982422,495.4371563720703,450.80427825927734,True,1.48138427734375,0.014316698328075361,0.012855197997104377,1
2025-08-13,517.5734252929688,529.6234217995657,516.3703917601634,529.0368026236954,19619200,515.3194610595704,496.602587890625,452.1410021972656,True,-4.33477783203125,-0.016362973710205786,0.013513227570622186,1
2025-08-14,519.46240234375,522.9123929469488,517.13595097363,519.5419572956574,20269100,515.8553482055664,497.7859136962891,453.4527517700195,True,1.6304931640625,0.0036496793661924265,0.013299448520468495,1
2025-08-15,517.1657104492188,523.0614541020369,516.0820397908819,519.7507304052322,25213300,516.3584259033203,498.90540954589846,454.7234732055664,True,-1.85919189453125,-0.004421286091483956,0.013322723806750269,1
2025-08-18,514.1134643554688,519.8004600468895,511.05129658888984,518.5775833311014,23760600,516.7083923339844,499.8881011962891,455.9430297851562,True,-4.64300537109375,-0.005901872517995788,0.013412700959123678,1
